Model,CV F1 Mean,CV F1 Std,Accuracy,Precision,Recall,F1 Score
Gradient Boosting,0.9127,0.0088,0.9285,1.0,0.857,0.923
XGBoost,0.8869,0.0109,1.0,1.0,1.0,1.0
Decision Tree,0.873,0.0094,1.0,1.0,1.0,1.0
AdaBoost,0.846,0.0306,0.8633,1.0,0.7267,0.8417
Random Forest,0.8376,0.0285,1.0,1.0,1.0,1.0
Logistic Regression,0.8278,0.0197,0.8557,0.9696,0.7344,0.8358
SVC,0.8259,0.0215,0.8602,1.0,0.7203,0.8374
Naive Bayes,0.8248,0.0215,0.8512,1.0,0.7024,0.8252
Extra Trees,0.8208,0.0236,1.0,1.0,1.0,1.0
KNN,0.7458,0.0172,0.8442,0.9102,0.7637,0.8306
